title,hazard-category,pred_hazard,product-category,pred_product
Dairy Farmers—Shred Heads Natural Cheese Sticks,foreign bodies,foreign bodies,prepared dishes and snacks,"meat, egg and dairy products"
McWilliams Wines—Holsten Imported Beer,biological,packaging defect,alcoholic beverages,alcoholic beverages
Manassen Foods Australia Pty Ltd—Australian Garlic Bread,fraud,biological,cereals and bakery products,prepared dishes and snacks
Product Recall of Cotswold Spring Natural Mineral Water and Aquaid Cotswold Natural Mineral Water,biological,foreign bodies,non-alcoholic beverages,non-alcoholic beverages
Black and Gold—Pasta Sauce,fraud,allergens,"soups, broths, sauces and condiments","soups, broths, sauces and condiments"
Mrs Quick Foods Pty Ltd—Unbaked Premium Pork and Beef Sausage Rolls and Scrolls,allergens,allergens,"meat, egg and dairy products",prepared dishes and snacks
VJ Seafoods—Spanish Mackerel Steaks/Cutlets,chemical,biological,seafood,seafood
Britvic Soft Drinks Ltd recalls two flavours of Tango carbonated drinks due to possible fermentation,other hazard,foreign bodies,non-alcoholic beverages,non-alcoholic beverages
T & D Trading Co Pty Ltd—Pati Tong—Shrimp paste,biological,biological,seafood,prepared dishes and snacks
Golden Circle Ltd—Junior Meal Mates—Various products,foreign bodies,foreign bodies,prepared dishes and snacks,fruits and vegetables
Mar 7_ 2006_ New Jersey Firm Recalls Meatball Products____,allergens,allergens,other food product / mixed,prepared dishes and snacks
Harkola Pty Ltd—Halawa—Vanilla (Plain),foreign bodies,foreign bodies,fruits and vegetables,cereals and bakery products
Milky's (UK) Ltd withdraws its own-brand halloum cheese and yoghurt-based products made in an unapproved premises,fraud,foreign bodies,"meat, egg and dairy products","meat, egg and dairy products"
Woolworths Limited—Apricot Choc Cookies,allergens,fraud,cereals and bakery products,cereals and bakery products
Sainsbury's recalls its own-brand in-store bakery Chocolate and Toffee Crisp Bites due to possible glass contamination,foreign bodies,foreign bodies,confectionery,cereals and bakery products
Menora Gourmet Spices—Garam Masala,fraud,allergens,herbs and spices,herbs and spices
2007 - american pie recalls marie callender turtle pies because of a possible health risk,biological,biological,cereals and bakery products,fruits and vegetables
"2010 - Pablo’s Produce, Inc. Recalls One Lot of Cilantro because of Possible Health Risk",biological,biological,"soups, broths, sauces and condiments",fruits and vegetables
Sanitarium—So Good Rice Milk,allergens,allergens,"meat, egg and dairy products",non-alcoholic beverages
Food Alert - Batches of milk powder recalled by Japanese manufacturer following detection of radioactive substances,other hazard,chemical,"meat, egg and dairy products",fruits and vegetables
2012 - Allergen Alert: Glazers Donuts With Trace Egg,allergens,allergens,cereals and bakery products,prepared dishes and snacks
Euro Spice Spices – Microbial Contamination (Salmonella) – 3 May 2012,biological,biological,fruits and vegetables,herbs and spices
McWilliams Wine Group Limited—Assorted McWilliams Wines (2 Litres),packaging defect,foreign bodies,alcoholic beverages,alcoholic beverages
"2012 - Bumble Bar, Inc. Recalls Gluten Free Cafe™ Chocolate Sesame Bars and Gluten Free Cafe™ Cinnamon Sesame Bars Due to Possible Health Risk Associated With Sunland Inc. Peanut Products",biological,biological,cereals and bakery products,ices and desserts
Woolworths Ltd—Homebrand Choc Eclairs 300g,allergens,allergens,"cocoa and cocoa preparations, coffee and tea",confectionery
2009 - liquid supplements recalled by protica inc.,chemical,biological,"dietetic foods, food supplements, fortified foods","dietetic foods, food supplements, fortified foods"
2009 - star kay white inc. announces voluntary recall of peanut products due to possible health risk,biological,biological,confectionery,ices and desserts
Oregon Firm Recalls Meat and Poultry Ravioli Products Produced Without Benefit of Inspection,fraud,fraud,other food product / mixed,"meat, egg and dairy products"
California Firm Recalls Dried Sausage Products Due To Possible Contamination With Staphylococcus Aureus Enterotoxin,biological,other hazard,"meat, egg and dairy products","meat, egg and dairy products"
The Original Smoke and Spice Co Sea Salt Gourmet Seasoning,allergens,allergens,"soups, broths, sauces and condiments",herbs and spices
